zipcode,superzip,rank,city,state,adultpop,households,college,income,centile
1001,0,8.718500048121273,Agawam,MA,12293,4219,22.06947%,4.295952818037156,49
1002,0,6.882437470997847,Amherst,MA,14232,5081,68.52867%,4.414386849099366,49
1005,0,8.781248333236862,Barre,MA,3348,1400,20.51971%,4.2931343535289175,49
1007,0,8.272315147956022,Belchertown,MA,8577,3547,31.38627%,4.375947695304811,49
1008,0,8.501470230951002,Blandford,MA,845,348,25.79882%,4.352066658222724,49
1010,0,8.420682291035394,Brimfield,MA,2252,887,27.79751%,4.36158754738,49
1011,0,8.917444732471514,Chester,MA,1392,562,20.97701%,4.193468219046888,49
1012,0,null,Chesterfield,MA,353,139,23.22946%,4.286826136354323,49
1013,0,9.714926570952155,Chicopee,MA,15464,5902,10.79281%,3.964817712131923,49
1020,0,9.36383369293329,Chicopee,MA,20681,7857,13.21019%,4.122333038295507,49
1022,0,9.216620609933333,Chicopee,MA,1550,492,15.80645%,4.140560304297762,49
1026,0,8.372398606513004,Cummington,MA,715,285,38.46154%,4.136076382725145,49
1027,0,8.648572269472618,Easthampton,MA,12506,4612,24.83608%,4.2757992155860585,49
1028,0,7.968319500012717,East Longmeadow,MA,9871,3997,32.67146%,4.528461912903428,49
1029,0,null,East Otis,MA,402,172,24.62687%,4.167637619089204,49
1030,0,8.594339400592892,Feeding Hills,MA,7865,3228,20.47044%,4.4074954093871215,49
1031,0,8.977398978181862,Gilbertville,MA,798,310,16.91729%,4.2558617568176285,49
1032,0,null,Goshen,MA,157,48,42.67516%,4.167637619089204,49
1033,0,8.656781205623291,Granby,MA,4156,1695,22.95476%,4.315271659014767,49
1034,0,8.278682162970906,Granville,MA,1332,525,31.00601%,4.380754325631886,49
1035,0,7.938088726896952,Hadley,MA,3486,1240,40.2467%,4.393665143712445,49
1036,0,7.8632667240095735,Hampden,MA,3500,1448,32.77143%,4.578992521253432,49
1037,0,null,Hardwick,MA,456,196,33.99123%,4.319978343671223,49
1038,0,8.371936178759098,Hatfield,MA,1917,727,29.6818%,4.353026156540421,49
1039,0,8.14351740579748,Haydenville,MA,840,307,36.54762%,4.345018711494069,49
1040,0,9.586582621407445,Holyoke,MA,24509,9530,16.93256%,3.8553169833612535,49
1050,0,8.873047798971067,Huntington,MA,1579,677,20.45598%,4.23655900201182,49
1053,0,7.884576510596324,Leeds,MA,1108,340,41.42599%,4.400491848423287,49
1054,0,6.92951677076365,Leverett,MA,993,379,62.63847%,4.498670132414599,49
1056,0,9.006141236662911,Ludlow,MA,14770,5492,14.7935%,4.2907376216306945,49
1057,0,8.623892810075294,Monson,MA,5648,2212,22.66289%,4.341484548892187,49
1060,0,7.68937110752969,Northampton,MA,10508,2740,52.02703%,4.281870055022564,49
1062,0,8.10711747075039,Florence,MA,8082,2820,39.08686%,4.309857742826647,49
1068,0,8.228977643358313,Oakham,MA,1093,480,30.64959%,4.420067685953463,49
1069,0,9.16282938930513,Palmer,MA,6746,2630,14.20101%,4.214965493167634,49
1070,0,null,Plainfield,MA,392,154,32.14286%,4.154898593311775,49
1071,0,9.124128675157117,Russell,MA,1116,477,17.29391%,4.154898593311775,49
1072,0,7.291656209174461,Shutesbury,MA,965,395,59.06736%,4.364619124293844,49
1073,0,8.170185652879642,Southampton,MA,3669,1536,31.28918%,4.441965138812464,49
1075,0,8.280964400553373,South Hadley,MA,11317,4212,32.87974%,4.338774476153944,49
