patentno,risk,satisfy,name,home,resident,surgery,history,cost,centile
1001,0,6115.0,Agawam,MA,12293,4219,22.06947,73.40212,81
1002,0,975.0,Amherst,MA,14232,5081,68.52867,82.63116,81
1005,0,6511.0,Barre,MA,3348,1400,20.51971,73.19553,81
1007,0,3914.0,Belchertown,MA,8577,3547,31.38627,79.51516,81
1008,0,4922.0,Blandford,MA,845,348,25.79882,77.63875,81
1010,0,4540.0,Brimfield,MA,2252,887,27.79751,78.38147,81
1011,0,7461.0,Chester,MA,1392,562,20.97701,66.25217,81
1013,0,16563.0,Chicopee,MA,15464,5902,10.79281,52.71066,81
1020,0,11659.0,Chicopee,MA,20681,7857,13.21019,61.70303,81
1022,0,10063.0,Chicopee,MA,1550,492,15.80645,62.83802,81
1026,0,4326.0,Cummington,MA,715,285,38.46154,62.55689,81
1027,0,5702.0,Easthampton,MA,12506,4612,24.83608,71.93761,81
1028,0,2888.0,East Longmeadow,MA,9871,3997,32.67146,92.616,81
1030,0,5401.0,Feeding Hills,MA,7865,3228,20.47044,82.06367,81
1031,0,7922.0,Gilbertville,MA,798,310,16.91729,70.51756,81
1033,0,5749.0,Granby,MA,4156,1695,22.95476,74.83395,81
1034,0,3939.0,Granville,MA,1332,525,31.00601,79.89828,81
1035,0,2802.0,Hadley,MA,3486,1240,40.2467,80.93652,81
1036,0,2600.0,Hampden,MA,3500,1448,32.77143,97.4162,81
1038,0,4324.0,Hatfield,MA,1917,727,29.6818,77.71328,81
1039,0,3441.0,Haydenville,MA,840,307,36.54762,77.09348,81
1040,0,14568.0,Holyoke,MA,24509,9530,16.93256,47.24359,81
1050,0,7137.0,Huntington,MA,1579,677,20.45598,69.16943,81
1053,0,2656.0,Leeds,MA,1108,340,41.42599,81.49094,81
1054,0,1022.0,Leverett,MA,993,379,62.63847,89.8975,81
1056,0,8153.0,Ludlow,MA,14770,5492,14.7935,73.02031,81
1057,0,5563.0,Monson,MA,5648,2212,22.66289,76.8215,81
1060,0,2185.0,Northampton,MA,10508,2740,52.02703,72.37566,81
1062,0,3318.0,Florence,MA,8082,2820,39.08686,74.4299,81
1068,0,3748.0,Oakham,MA,1093,480,30.64959,83.10191,81
